subject,apunts-bogdan,teoria-pildoras,problemes-bogdan,material-complementari,exercicis-stepquiz
trigonometria,https://matematiquesambogdan.wordpress.com/wp-content/uploads/2025/08/trigonometria-apunts-i-problemes-eso-videos.pdf,"wkEO3C2CBG4:09 Razones trigonométricas|xeKxbOg6Hi0:10 Funciones inversas de las razones trigonométricas|H0r_AWXT5Uk:11 Razones trigonométricas   Ejercicios|3WRJpoQQc5M:12 Razones trigonométricas de ángulos complementarios|A95KIJ4QYgY:13 Circunferencia goniométrica|tJYXBsJfQYs:14 Relación entre las razones trigonométricas|YsztjPdB864:15 Razones trigonométricas del primer cuadrante I|chBS1zC3KLU:16 Razones trigonométricas del primer cuadrante II|7jMShkC7MN4:17 Reducción de ángulos al primer cuadrante I|BgljhIuO7fY:18 Paso de grados a radianes|MR56wZuBAVM:19 Reducción de ángulos al primer cuadrante II|XhIz5xK6IeU:20 Ecuaciones trigonométricas I|8Em5CxFV-aU:21 Ecuaciones trigonométricas II|d4KaFeUT5B8:22 Ejercicios de doble medición|zYCytkWAeiI:23 Razones del ángulo suma, resta, doble y mitad|lfxvhJe95u4:24 Teorema del seno I|HWq04RL0XHA:25 Teorema del seno II|MAEi8rlflNk:26 Teorema del coseno|8kmB1Vkr6PU:27 Resolución de triángulos no rectángulos|DYEGu9oNaZc:28 Problemas de distancias entre dos puntos no accesibles",N1WOPOlrRdc:Trigonometria: Identitats trigonomètriques - Part 1|zd2_mFbIqcU:Trigonometria: Identitats trigonomètriques - Part 2|GFlGiQKWJ3k:Trigonometria: Identitats trigonomètriques - Part 3|UdXD4DuZyTY:Trigonometria: Problemes - Part 1|ktaZdzbbudg:Trigonometria: Problemes - Part 2|lFY-xi4gIVI:Trigonometria: Problemes - Part 3|8QQJAGnjDGg:Trigonometria: Problemes - Part 4|rRa11_5nI3s:Trigonometria: Identitats trigonomètriques - Part 4|ZqWe8P9XcAs:Trigonometria: Identitats trigonomètriques - Part 5|Q1_JHzrDNHo:Trigonometria: Demostració d'identitats - Part 1|HsjM_PKxw1M:Trigonometria: Demostració d'identitats - Part 2|fMYixEaJP-Y:Trigonometria: Demostració d'identitats - Part 3|_5VtLrSWgpY:Trigonometria: Equacions trigonomètriques - Part 1|vU7W_5CUKew:Trigonometria: Equacions trigonomètriques - Part 2|nubE2wkcOFs:Trigonometria: Equacions trigonomètriques - Part 3|tVCk95QNQwI:Trigonometria: Equacions trigonomètriques - Part 5|u8V8Din0fvk:Trigonometria: Equacions trigonomètriques - Part 6|RULEsnVQ1aw:Trigonometria: Equacions trigonomètriques - Part 7|d_englbtmrw:Trigonometria: Sistemes d'equacions trigonomètriques - Part 1|jo7OeZfzQYk:Trigonometria: Sistemes d'equacions trigonomètriques - Part 2|fsLIek852vM:Trigonometria: Sistemes d'equacions trigonomètriques - Part 3|MWWL-HA6Ghc:Trigonometria: Equacions trigonomètriques - Part 4|yQ1QggyU0mY:Trigonometria: Sistema d'equacions trigonomètriques - Part 4|1CL8bHsYEUw:Trigonometria: Sistemes d'equacions trigonomètriques - Part 5|Qzasw32BEYw:Trigonometria: Teorema de sinus i cosinus - Problema 1|IZlxDNhi7ww:Trigonometria: Teorema de sinus i cosinus - Problema 2|ffttXuXtT4s:Trigonometria: Teorema de sinus i cosinus - Problema 3,https://drive.google.com/file/d/1exbrFhRADOVk5Ox-uYHtRmG1JSrZC41W/view?usp=drive_link,https://step-quiz.net/raons-trigonometria.html|https://step-quiz.net/teorema-sin-cos.html
algebra,https://drive.google.com/file/d/XXXXXXXXXX_APUNTS_ALG/view,,,https://drive.google.com/file/d/XXXXXXXXXX_COMPLEMENT_ALG/view,
geometria,https://drive.google.com/file/d/XXXXXXXXXX_APUNTS_GEO/view,,,https://drive.google.com/file/d/XXXXXXXXXX_COMPLEMENT_GEO/view,
estadistica,https://drive.google.com/file/d/XXXXXXXXXX_APUNTS_EST/view,,,https://drive.google.com/file/d/XXXXXXXXXX_COMPLEMENT_EST/view,
funcions,https://drive.google.com/file/d/XXXXXXXXXX_APUNTS_FUN/view,,,https://drive.google.com/file/d/XXXXXXXXXX_COMPLEMENT_FUN/view,
nombres,https://drive.google.com/file/d/XXXXXXXXXX_APUNTS_NOM/view,,,https://drive.google.com/file/d/XXXXXXXXXX_COMPLEMENT_NOM/view,
derivades,https://drive.google.com/file/d/XXXXXXXXXX_APUNTS_DER/view,,,https://drive.google.com/file/d/XXXXXXXXXX_COMPLEMENT_DER/view,
integrals,https://matematiquesambogdan.wordpress.com/wp-content/uploads/2022/10/calcul-de-primitives-problemes-integracio.pdf,OSZ_OZSNI5Q:01 Integrales -  introducción|XId83_SLT6g:02 Significado de k|jtdyEaS7PcI:03 Operaciones con integrales|Mw8CiYjSYkw:04 Integrales básicas I|P4jLkgSUAzo:05 Integrales básicas II|qDKB2qks1gY:06 Integrales básicas III|fij8SF5AMW8:07 Integrales básicas IV|a8h0EUAUf9o:08 Integrales básicas V|ihgb7gtyQhY:09 Integrales inmediatas I|VyfkQt4z_NE:10 Integrales inmediatas II|srMqFO99fYQ:11 Integrales inmediatas III|H2ghV-JaUgk:12 Ejercicios de integrales inmediatas I|axA6MMKsK-c:13 Ejercicios de integrales inmediatas II|duuygXo-gIs:14 Ejercicios de integrales inmediatas III|YDgbUTE5EYo:15 Ejercicios de integrales inmediatas IV|-ZdFG_DT4lM:16 Ejercicios de integrales inmediatas V|o8tEQW9f250:17 Integración por partes I|r4QwORuC9jA:18 Integración por partes II|J9KNaPCWP6k:19 Ejercicios de integración por partes I|ndAhzOIFfKQ:20 Ejercicios de integración por partes II|Ac3H12gln6c:21 Ejercicios de integración por partes en varios pasos|Q-Io234FjwM:22 Ejercicios de integración por partes cíclicos|0Pyjd_s2Q-4:23 Qué es integrar|VIIXxanNF3o:24 Integral definida|A4kctby_Ki4:25 Área entre una función y el eje X|04PhtWZwWC0:26 Ejercicios de área entre una función y el eje X I|YPrFvsSpWEk:27 Ejercicios de área entre una función y el eje X II|o-2Bt8v_v4o:28 Área entre dos funciones|JB3Fgto7rjQ:29 Ejercicios de área entre dos funciones I|Wa1bR2QCrVA:30 Ejercicios de área entre dos funciones II,-B7FnpysGBk:http://www.youtube.com/watch?v=-B7FnpysGBk|G8dazjXi0oM:http://www.youtube.com/watch?v=G8dazjXi0oM|3eRVUFiAdu8:http://www.youtube.com/watch?v=3eRVUFiAdu8|z8l7bqoaAZs:http://www.youtube.com/watch?v=z8l7bqoaAZs|BGKFod9j95A:http://www.youtube.com/watch?v=BGKFod9j95A|Pp2nUakYrgI:http://www.youtube.com/watch?v=Pp2nUakYrgI|HpRTfKbbJvU:http://www.youtube.com/watch?v=HpRTfKbbJvU|Cif4tkFx0f4:http://www.youtube.com/watch?v=Cif4tkFx0f4|6bfbqAmLvso:http://www.youtube.com/watch?v=6bfbqAmLvso|KDTuje6EBE0:http://www.youtube.com/watch?v=KDTuje6EBE0,https://matematiquesambogdan.wordpress.com/wp-content/uploads/2023/01/calcul-integral.pdf,https://step-quiz.net/integrals.html|https://step-quiz.net/vocabulari.html?totalsessions=1&totaloperations=6&maxintents=4&maxenllocmitjana=1&modalitat=a
matrius,https://drive.google.com/file/d/XXXXXXXXXX_APUNTS_MAT/view,,,https://drive.google.com/file/d/XXXXXXXXXX_COMPLEMENT_MAT/view,
complexos,https://drive.google.com/file/d/XXXXXXXXXX_APUNTS_COM/view,,,https://drive.google.com/file/d/XXXXXXXXXX_COMPLEMENT_COM/view,
vectorial,https://drive.google.com/file/d/XXXXXXXXXX_APUNTS_VEC/view,,,https://drive.google.com/file/d/XXXXXXXXXX_COMPLEMENT_VEC/view,
